"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","TIM H","Have been wearing Dickies for 20 years now. The quality is always the same (excellent).","Verified Purchase","Reviewed in Australia on 7 February 2024","4.3 out of 5 stars"
"2","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","BunningsSnag","Excellent brand and quality. I’ve purchased a pair directly from dickies previously that fit perfectly. The problem is as has been 3 times now that when I’ve purchased size 40 inch shorts from overseas they have sent me 36 inch. Sent back first pair as they paid for postage. I received a full refund. I’m left with the second pair of carpenter denim shorts as it would cost me almost the price I paid for the shorts in postage back to the USA. Also I have a month to drop off this pair at a parcel return which is hard as the closest is 4-5 hours drive away. Bit of a scam really if you’re not from a major city that has a return facility. Be warned if you’re looking for larger sizes. I won’t be buying off here .","Verified Purchase","Reviewed in Australia on 25 February 2021","5.0 out of 5 stars"
"3","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","TIM H","Reading the reviews, and wanting them to be baggy like my other shorts from the 90's i ordered 2 sizes up.  Im 6ft and medium build usually a 36, so i ordered a 40.I received a 36, but the fit really well, they are the exact same size/shape as an old pair of size 38 from jayjays int he 2000's. Doesnt make any sense, but i am happy with the product i received.","Verified Purchase","Reviewed in Australia on 7 February 2024","1.0 out of 5 stars"
"4","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","scott simpson","With Dickies, you play a lottery as to whether your purchase will fit. Sure, you may be a size 36, and own other dickies pants that are a size 36 that fit well, doesn't mean that your new size 36 purchase will fit. They are way too small, would be tight on a size 34 person.As it's an Amazon US purchase, if I opted to return the item and take out the return postage cost Amazon has set, I would be refunded 51cents.  Might as well try to flog them on ebay now.","Verified Purchase","Reviewed in Australia on 1 January 2024","5.0 out of 5 stars"
"5","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Dorian","The sizing is ridiculous, I bought the size up as I understand they come small still nowhere near.A waste of time","Verified Purchase","Reviewed in Australia on 20 February 2023","5.0 out of 5 stars"
"6","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","BunningsSnag","Sizing not right, far too small.","Verified Purchase","Reviewed in Australia on 25 February 2021","4.0 out of 5 stars"
"7","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Minx","Quality and customer svc was second to none but the shorts were a 13inch wide leg far far to wide looked like I was wearing a skirt pmsl  appart from that highly recomend","Verified Purchase","Reviewed in Australia on 21 April 2022","1.0 out of 5 stars"
"8","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Paul-thomas Clarke","Very comfortable.  Easy to wear when you need to be a bit smarters in shorts or just kicking about in the countryside.  Perfect.","Verified Purchase","Reviewed in Australia on 14 January 2021","1.0 out of 5 stars"
"9","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","David C.","Me quedan como esperaba. Personalmente no quería que me quedaran como en la imagen que se muestra así que me pedí una talla más grande. Mido aproximadamente 1,80 metros y compre una 32 x Regular. Me cubren las rodillas como deseaba. Perfectos.","Verified Purchase","Reviewed in the United Kingdom on 3 August 2018","1.0 out of 5 stars"
"10","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","A. D. JAFFA","Pour l été être bien dans un short qui laisse passer l air","Verified Purchase","Reviewed in the United Kingdom on 18 August 2019","5.0 out of 5 stars"
"11","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","TIM H","Delivered on time plus item received in good condition","Verified Purchase","Reviewed in Australia on 7 February 2024","4.3 out of 5 stars"
"12","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","BunningsSnag","Bought theses and a pair of Dickies pants. Both in size 36, the pants fit perfectly, but the shorts are a little on the small side.","Verified Purchase","Reviewed in Australia on 25 February 2021","5.0 out of 5 stars"
"13","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Roberto Clarke","Hatte die Hose in ""33"" bestellt, geliefert wurde ""32"" was für mich viel zu eng war. Habe jetzt in Größe ""34"" nochmal bestellt.  Auf die Rücksendebestätigung warte ich jetzt leider noch.","Verified Purchase","Reviewed in the United Kingdom on 9 February 2020","1.0 out of 5 stars"
"14","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Xeokuu","problème récurent avec dickies, taille haute sur ce modèle, fait du 42 habituellement, pour le porté sur les hanches il me faudrait un 46 ...","Verified Purchase","Reviewed in Canada on 22 March 2019","5.0 out of 5 stars"
"15","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Frage","en effet prévoir 1 taille au dessus. sinon la qualité est là; ne bouge pas aux premiers lavages. produit conforme à la photo.","Verified Purchase","Reviewed in Germany on 22 March 2020","5.0 out of 5 stars"
"16","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Thomas","Ordered a size 38, they're closer to a 34","Verified Purchase","Reviewed in France on 15 June 2018","4.0 out of 5 stars"
"17","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","S. Martinez","Very good","Verified Purchase","Reviewed in France on 1 July 2014","4.0 out of 5 stars"
"18","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Ben","Superb same as the biege ones I bought. Spot on","Verified Purchase","Reviewed in the United Kingdom on 29 March 2017","4.0 out of 5 stars"
"19","Shorts","Dickies Men's 13 Inch Loose Fit Multi-Pocket Work Short","Robbie","Great shorts! Order one size up to wear it oversize","Verified Purchase","Reviewed in the United Kingdom on 25 July 2015","1.0 out of 5 stars"
