"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Robert Smith","We do about 2 to 3 hours of Washing a Day. This only lasts us for 2 weeks Max.","Verified Purchase","Reviewed in Australia on 17 March 2024","4.8 out of 5 stars"
"2","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","SherwinE","Scrub Daddy is the best of all. Its easy to clean and can be used on harsh utensils. Highly recommended.","Verified Purchase","Reviewed in Australia on 6 March 2024","5.0 out of 5 stars"
"3","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","SherwinE","Exactly as described","Verified Purchase","Reviewed in Australia on 6 March 2024","3.0 out of 5 stars"
"4","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Gav","Need I say more?","Verified Purchase","Reviewed in Australia on 31 October 2023","3.0 out of 5 stars"
"5","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Beth","Works a charm!","Verified Purchase","Reviewed in Australia on 28 November 2023","5.0 out of 5 stars"
"6","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Lois","Haven’t used anything better. My go to cleaning sponge","Verified Purchase","Reviewed in Australia on 25 November 2023","5.0 out of 5 stars"
"7","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Jackie Jehoda","Works as advertised","Verified Purchase","Reviewed in Australia on 31 October 2023","5.0 out of 5 stars"
"8","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Aus Giggles","I absolutely love these spongers and use them to clean almost every surface of my house. But I think they work best to clean my bathroom the work magic on the tiles grout and glass !!","Verified Purchase","Reviewed in Australia on 14 November 2023","4.0 out of 5 stars"
"9","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Graz","This is the best sponge ever made! It is so versatile and easy to use. The material makes it easy to clean! I’ve personally tested it on a new regular sponge and the scrub daddy got everything off the dish in 2 swipes (the sponge took 9 and there was still some left over). You can also use the mouth to clean spoons which is a little bit of a gimmick but it still works incredibly well. My favourite feature is cleaning cups with the scrub daddy. Just stick your fingers in the eyes and twist it in a cup. It’s as good as new! I love this sponge and i’m definitely buying more!","Verified Purchase","Reviewed in Australia on 22 November 2023","5.0 out of 5 stars"
"10","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Ashlee","I tried it on my shower glass, just with Pine O Cleen. You can feel it when the scum comes off and the glass is clean. Works well and looking at Scrub Mommy for the dishes next","Verified Purchase","Reviewed in Australia on 29 September 2023","5.0 out of 5 stars"
"11","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer","Rough and soft, perfect scrubber. It won't last forever, but it does the job extremely well.
  
Read more","Verified Purchase","Reviewed in Australia on 17 March 2024","4.8 out of 5 stars"
"12","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Amazon Customer","It lasts longer and retains it's quality longer and is easy to sterilize.Cleans brilliantly
  
Read more","Verified Purchase","Reviewed in Australia on 1 March 2024","Previous page"
"13","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Robert Smith","The scrub daddy is a great invention and works well
  
Read more","Verified Purchase","Reviewed in Australia on 1 March 2024","4.8 out of 5 stars"
"14","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Aliz","Works well
  
Read more","Verified Purchase","Reviewed in Australia on 14 March 2024","4.5 out of 5 stars"
"15","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Ken Lay","Does ok. Definitely is more expensive than other brands. Can't do a couple of interesting things.Bought it because I saw the TV ad. However there's probably no need to get another one.Will try to see how long this lasts
  
Read more","Verified Purchase","Reviewed in Australia on 13 October 2023","4.6 out of 5 stars"
"16","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Reviewer123","Heard all the rage about this. Was hesitant. But lasts much longer than a kitchen sponge and foams well.
  
Read more","Verified Purchase","Reviewed in Australia on 26 February 2024","4.8 out of 5 stars"
"17","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Sameer-ji","It's a scrub daddy. It's iconic. What's not to love. Cleans my shower, bath and bathroom vanity very well
  
Read more","Verified Purchase","Reviewed in Australia on 23 January 2024","4.8 out of 5 stars"
"18","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Audriculous","My husband actually bought this - I was skeptical but it works great and doesn’t scratch my pans. We have now also purchased a Scrub mummy!
  
Read more","Verified Purchase","Reviewed in Australia on 11 January 2024","4.7 out of 5 stars"
"19","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Laura","Ah, good.
  
Read more","Verified Purchase","Reviewed in Canada on 9 January 2024","Next page"
"20","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","SC","If you don't utilize a Scrub Daddy I'm not eating at your place, no lie 🤣😂. Scrub Daddy is the best sponge cleaner ever made, hard when cold and soft when hot, come on can't beat that kind of dedication and thought process put into designing and making Srub Daddy. Make sure to get one, I definitely recommend getting one to start out with them I believe they have a 10 or 8 box deal which is the best. Stocking up is good.
  
Read more","Verified Purchase","Reviewed in the United States on 13 December 2023","Previous page"
"21","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Robert Smith","Believe the hype, this is my best sponge.Sometimes it won't clean itself as easy as the ads but it will eventually disappear and become normal","Verified Purchase","Reviewed in Australia on 17 March 2024","4.8 out of 5 stars"
"22","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","SherwinE","Honestly the best sponge I’ve ever used for anything hard to clean !","Verified Purchase","Reviewed in Australia on 6 March 2024","5.0 out of 5 stars"
"23","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Ty","love my daddy","Verified Purchase","Reviewed in Australia on 13 March 2024","3.0 out of 5 stars"
"24","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Kara Seal","I hate kitchen sponges. Really I do. Germ factories. But not this one. Once a week (or more often as needed) I chuck it in the dishwasher et voila!  Clean and sanitised. The open grain of the sponge makes it easy to get clean in a diswasher, and assists in scrubbing what it needs to. Love it","Verified Purchase","Reviewed in Australia on 18 March 2024","5.0 out of 5 stars"
"25","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","pk","Fast shipping, item as described, very happy thanks.","Verified Purchase","Reviewed in Australia on 19 March 2024","5.0 out of 5 stars"
"26","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Kitikatter","Best sponges on the market","Verified Purchase","Reviewed in Australia on 2 February 2024","5.0 out of 5 stars"
"27","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Fito","Love it! That is all I can say. This is a must purchase for any kitchen","Verified Purchase","Reviewed in Australia on 21 February 2024","5.0 out of 5 stars"
"28","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Briar-rose knipe","Expensive but good.","Verified Purchase","Reviewed in Australia on 12 February 2024","5.0 out of 5 stars"
"29","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Eva","Think of it as an advanced form of sponge, with a bit more abrasive power. Long lasting. Less stinky. Better than a sponge","Verified Purchase","Reviewed in Australia on 4 March 2024","5.0 out of 5 stars"
"30","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Alexander","Really great for the shower and I found I used less cleaning agent as it helped foam it up more effectively.","Verified Purchase","Reviewed in Australia on 3 March 2024","4.0 out of 5 stars"
"31","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","Robert Smith","Wouldn’t use any other.","Verified Purchase","Reviewed in Australia on 17 March 2024","4.8 out of 5 stars"
"32","Sponge","Scrub Daddy Flex Texture Cleaning Sponge, Original Yellow 4 1/8 inches","SherwinE","Worth all the hype.","Verified Purchase","Reviewed in Australia on 6 March 2024","5.0 out of 5 stars"
